Common name,Origin,First developed,Comment,Use
"Vandervere(syn. Large Vandervere, Vandervere Pippin, Yellow Vandervere)",US,1806,"Flesh yellow, firm, juicy, acid. Tree vigorous, productive, bearing annually. Use December.",Cooking
Venus Pippin,England,1800,"A pale yellow-green apple. AM from RHS in 1899. Flesh, tender, pale yellow, juicy. Use September - October.","Cooking, Eating"
Verorja,Albania,,"A greenish yellow apple with red stripes. W 50-60, H 50-60. We 100-120. Flesh crisp, juicy, subacid. Pick late July - Early August.",Eating
Vicking,US,Introduced 1925,"Flesh brisk, soft, juicy. Pick late August. Use August - September.",Eating
Victoria Sweet,New York ? US,1840,"A red apple. Tree vigorous. Flesh yellow, firm, tender, juicy, sweet, good to very good. Use October - January.","Eating, Cooking, Baking"
Victory,US,Introduced 1943,"Flesh white, juicy, aromatic. Use October 15 - March 15.",Eating
Vidovdanka,Serbia,1900,"A green apple with red flush covering 85%. W 62, H 62-74. We 130. Flesh juicy, acid. Pick august.",Eating
Vinterkanel(syn. Talvikaneli),Finland,Introduced 2003,A red apple. P Lobo x Rödkanel. Pick early October.,"Cooking, Eating"
Violette,France,1628,A culinary apple of second rate quality. Use: October - March.,Cooking
Virginia Greening,Virginia,1835,"W 88. H 65. Flesh white, subacid. Use January - April.",Cooking
Vitgylling (syn. Virginskt Rosenäpple),Europe,1800,"W 69, H 60. Stalk 15 mm. Flesh sweet, subacid, fair to good. Pick late August. Use early September.",Cooking
Von Zuccalmaglios Rennete,Germany,1878,"W 65, H 61, We 115. Picking October. Use November - March. Biennial.","Eating, Cooking"
Vuokko,Finland,Introduced 1999,"A green apple. P Melba x Huvitus. Flesh juicy, sweet, subacid. Pick late August - early September.","Cooking, Eating"
Vusanka,Montenegro,1900,"A greenish yellow apple with red flush. W 72, H 63. We 132. Stalk medium to long. Flesh juicy, sweet. Pick early October. Use November - April.","Eating, Cider"
Wadhurst Pippin,England,1850,"A culinary apple of excellent quality, in use from October to February.",Cooking (Eating)
Wagener,US,1791,"Antique American variety, known since Colonial times. Tree hardy, early bearer, scab-resistant. Green with red flush. Flesh yellowish, tender, subacid and vinous, very good to best. W 70-88. H 51-63, Stalk 13–26 mm. Keeps very well. Very versatile in kitchen; not only does it cook well, but makes a good single-variety cider. Wagener is a parent of Idared, to which it imparts its keeping and cooking qualities. Pick early October. Use November - February.","Cider, Cooking, Eating"
Wanstall,England,1875,"A dessert apple of the first quality, equal in flavour to the Ribston Pippin and will keep till May. Flesh, yellow, firm crisp, juicy, rich, sugary, and highly flavoured.",Eating
Warder,US,Introduced 1937,P Rome Beauty x unknown. Pick October 1 in Ohio.,Eating
Warner's King,England,1700,"Oblong and light green. Very tart. W 90-95, H 62-76. Stalk 15–20 mm. Do not attempt to eat out of hand. Pick late September. Use November - February.",Cooking
Washington Strawberry,N.Y. US,1849,"W 88, H 75. Stalk 16 mm. Flesh yellow, crisp, tender, juicy, brisk subacid. Pick mid September. Use September - October.",Eating
Washu 1984,Japan,1920,"Conical with light green skin and dark freckles, with a firm, white, bruise-resistant flesh and a sweet, low-acid flavor with tropical undertones.",Eating
Water,Pa. US,1850,"W 70, H 70. Stalk 16 mm. Flesh white, tender, juicy, subacid. Use October - November.",Eating
Waterman Sweet,US,1875,"Yellow with red flush. Flesh yellow, juicy, sweet. Use December - March.",Eating
Wealthy,US,1860,"Cherry Red × Sops of Wine. Pretty reddish pink coat. Flesh white, fine, crisp, tender, very juicy, subacid, aromatic, good to very good. Believed at one time Minnesota was too cold to grow apples until ""Wealthy"" was cultivated. Now a parent to many apples for resistance to temperatures below freezing. Still available in upper Midwest. W 67-69, H 53-61. Stalk 18 – 22 mm. Pick mid September. Use September - December.",Eating
Webster,US,1921,P (Ben Davis x Jonathan) x (Ben Davis x Jonathan). A large red apple. Triploid.,Cooking
Wedge,US,1912,P Ben Davis x unknown. A large apple. Use October - November.,
Well apple syn. of Domine,,,,
Well apple syn. of Titus Pippin,,,,
Werder Golden Reinette,Germany,1904,"Golden yellow striped with crimson. W 63, H 57. Tree vigorous. Flesh firm, yellowish, sweet, good. Am from RHS in 1904.",Eating
Western Beauty,US,1850,"W 89, H 74. Stalk 20 mm. Flesh light yellow, tender, juicy, vinous, subacid. Tree vigorous, productive, early bearer. Use August - December.","Cooking, Eating"
Western Giant,US,Introduced 1948,A large Apple P unknown. Ripens before Red Astrachan.,
Westfield Seek-No-Further(syn. Westfield),US,1750,"A medium-sized conic to truncate-conic apple. W 70, H 58. Stalk 13 mm. Greenish-yellow, dull skin, flushed orange with carmine stripes, russet dots and patches. Shaded fruit are often irregularly russeted all over, with little colour showing. Flesh is light buttery-yellow, firm but tender, and moderately fine-grained. Flavour is nicely balanced, a honey-like sweetness balanced with a lemon-like citric acidity, rich, notes of pear and vanilla. Vigorous grower, some disease resistance. Use December.",Eating
Weisskante,Germany,1850,"W66, H 66. Stalk 16 mm. Use November - March.","Cooking, Eating"
Wheeler´s Russet,England,1717,"Medium sized fruit, entirely covered with pale yellowish grey russet. A highly flavoured dessert apple of the first quality. Use: November–April.",Eating
Whetstone,US,1935,P Conard x Delicious. Quality fair. Tree vigourous.,
White Astrachan,Sweden or Russia,1800,"W 71, H 60. Stalk 10-15mm.",Eating
White Doctor,US,1875,"A large greenish-yellow apple. Stalk short. Tree vigorous. Flesh white, subacid, good. Use September - October.",Cooking
White June see Yellow June,,,,
White Pippin(syn. Canada Pippin),US or Canada,,"A yellow apple. W 80, H 65. Stalk 12 mm. Flesh white, crisp, juicy, subacid, very good to best. Use January - March.",Eating
White Sweet,US,1875,"Tree vigorous. Flesh white, sweet, good. Use Use September - October.","Cider, Cooking"
White Transparent]],Latvia,1850,"Very pale green skin. Flesh white, firm, crisp, tender, juicy, subacid, good. Fruit bruises easily and goes soft once harvested. W 55-70, H 55-68, We 85-100. AM from RHS in 1895. Pick and use July - August.",Cooking
White Winter Pearmain,US,1830,"W 74-79, H 62-73. Stalk 15–20 mm. Tree vigorous. Flesh yellow, crisp, juicy, very good. Use December - March.","Eating, Cooking"
Whitney Russet,US,1850,"W 67, H 52. Stalk 14 mm. Flesh grennish-yellow, juicy, subacid, aromatic, spicy. Use December - February.",Eating
Whorle Pippin,Scotland,1831,"Summer dessert apple of first-rate quality. Flesh firm, crisp and very juicy, with a brisk flavour. Picking August. H 51 W65.",Eating
Wickham´s Pearmain,England,1875,"A pearmain-shaped yellow apple with red overcolour on the side next the sun. H 50, W 50. Flesh, greenish yellow, crisp, juicy, and highly flavoured. An excellent dessert apple.",Eating
Wickson,US,Introduced 1944,A red oblong apple. P Yellow Newtown x Spitzenberg crab. Flesh juicy.,"Jam, Jelly, Cider"
Wickstrands favorit,Sweden,1900,A green apple. W 65 H 67. Stalk 16 mm. Flesh sweet. Pick October. Use October - December.,Eating
Wijcik McIntosh,Canada,1960,Mutation of McIntosh apple that first showed columnar ornamental properties,"Eating, Cooking, Ornamental"
Wild Twist,US,2011,Honeycrisp x Cripps Pink. Commercially available in 2020.,
William Crump,England,1910,"High-quality, well-coloured dessert apple. Raised at Rowe´s Nurseries, Worcester, England. AM from RHS in 1908. First Class Certificate from RHS in 1910. A yellow apple half covered with red flush. W 70-74, H 58-63. Stalk 13 mm. Pick mid October. Use December - February.",Eating
"Williams Favourite(syn. Williams, Williams Early)",US,1750,"W 56-69, H 52-69. Stalk 15 mm. AM from RHS in 1895. Flesh crisp, tender, juicy, subacid, aromatic, good. Tree moderately vigorous. Pick September. Use September - November.",Eating
Williams Pride(syn. Co-op 23),US,Introduced 1987,"Flesh firm, crisp, juicy, subacid.",Eating
Willie Sharpe,New Zealand,1900,"Light green, round, medium size. Flesh sweet, subacid, good.",Eating
Willis Sweet(syn. Pear Lot),US,1850,"W 83, H 73. Stalk 22 mm. Very good. Flesh juicy, sweet. Use August - September.","(Eating, Cooking), Baking."
Willow Twig(syn. James River),US,1870,"Yellow with red flush. W 84, H 73. Stalk 22 mm. Flesh pleasant, subacid. Valuable for late keeping",
Windsor,US,1889,"Flesh juicy, aromatic, good to very good. Use October - March.",Eating
Wine,US,1850,"A large apple. Flesh yellow, juicy, acid to subacid. Tree is very large. Use November - December.","Cooking, Eating"
Winesap,United States,1817,"Sweet with tangy finish. Reddish blush flecked with some green. W 67, H 63. Stalk 20 mm. Flesh yellow, firm, coarse, crisp, juicy, subacid, good to very good. Use October - March.","Cider, Eating"
Winston (Winter King) agm,England,1935,"Cox Orange × Worcester Pearmain. Originally called Winter King because of its extraordinary keeping ability, renamed during World War II for Winston Churchill. W 65, H 60. Stalk 10–18 mm. Pick mid October. Use December - April.",Eating
Winter Banana,US,1876,"Large, late dessert apple for use in December to March. Award of Merit from RHS in 1912. A golden yellow apple. 25-75% flushed with pinkish brown. W 78, H 71. Flesh yellow, firm, crisp, aromatic, juicy, mild subacid good to very good. Pick early October. Use December - March.",Eating
Winter Harvey,US,1850,"Flesh white, tender, juicy, subacid, good. Tree vigorous. Use January - March",Eating
Winter Maiden´s Blush,US,1850,"Flesh white, crisp, tender, subacid, very good. Stalk short.",Eating
Winter Pearmain,England,1600,"A narrow conical ribbed apple. W 70-80, H 70-80. Stalk very short. Flesh yellow, firm crisp, juicy and a very pleasant flavour. Use December - April.","Eating, Cooking"
Winter Pomeroy,England ?,1850,"W 76, H 64. Stalk long. Flesh, yellow, crisp, sub-acid. Use December - January.",Cooking
Winter Prinzenapfel,Germany,1887,"W 69, H 69-72. Stalk 12 mm. Flesh juicy, sweet, good. Use December - March.","Eating, Cooking"
Winter Quarrenden (syn. Stubb´s Seedlin),England,1895,"A bright crimson apple. W 63, H 57. AM from RHS in 1895. P London Pippin x Devonshire Quarrenden. Flesh greenish-yellow, poor. Use November - December.",Eating
Winter Quittenapfel,,1830,"W 72, H 58-60. Stalk 11 mm. Use December - April.",Cooking (Eating)
Winter Quoining,England,1700,"W 57, H 64. Flesh greenish yellow, tender, soft, not very juicy, sugary, perfumed. Use November - May.","Cooking, Eating"
"Winthrop Greening(syn. Lincoln Pippin, Hove Apple)",Me. US,1875,"Stalk short. Flesh white, tender, juicy, subacid. Use September.",Eating
Witos,Poland,,,
Wolf River,US,1881,"Apple very large, some growing to size of large grapefruit. Red with yellow blush. Once very popular commercial apple in United States but presently relegated to upper Midwest if grown for profit. Occasionally can be found growing wild in backcountry thickets or abandoned land in Shenandoah Valley. Named for area where found. Flesh white, firm, tender, juicy, aromatic, subacid, fair to good. Feral trees can be brought back with care and pruning. W 80, H 62. Pick mid September. Use October - December.","Cooking, Eating"
Wood´s Greening(syn. Reinette Simerenko),Ukraine,1895,A golden yellow apple. H 54-65 W 70-78. Pick October.,"Cooking, Eating"
Woolbroke Pippin,England,Introduced 1921,"Yellow with red flush and Russet. Stalk short. AM from RHS in 1929. Flesh white, hard, sweet, aromatic.",Eating
Woolbrook Russet,England,1903,"P Bramley x King Acre Pippin. W 84, H 67. Stalk short. Flesh white, juicy, acid. AM from RHS in 1930. Pick mid October. Use December - March.",Cooking
Worcester Pearmain agm,England,1873,"Conical , entirely covered with scarlet. FCC from RHS in 1875. Crisp and sweet strawberry flavour when ripe. Pick early - mid September. Use September - October. W 64, H 61.",Eating
Wright,US,Introduced 1942,"P Ben Davis x Jonathan. Fruit large, good flavor.",Eating
Wrixparent,US,Introduced 1940,P Transparent x unknown. Ripens early.,Eating
Wyken Pippin,England or Netherland,1720,"Flat round, even, greenish yellow, with delicious flavour. W 59, H 50. Pick mid October. Use November - February.",Eating
Yakima Newtown,US,Introduced 1949,Mutation of Yellow Newtown.,"Cooking, Cider, Eating"
Yates,US,1865,"A small apple. Flesh white, tender, juicy, subacid, good. Use March - May.",Eating
Yellow Bellflower,US,1800,"Yellow H 72-78, W 72-78, We 160. Stalk 18 – 25 mm. A favorite for baked apples. Banana flavour. Tree large, vigorous. Flesh yellow, tender, juicy, crisp, subacid, very good. Picking October. Use December–February.","Cooking, Eating"
Yellow Forset,La. US,1885,"Flesh white, tender, crisp, juicy, aromatic, subacid, good. Use January - June.",Eating
Yellow Ingestrie,England,1800,"Small, even, golden yellow. P Orange Pippin x Golden Pippin. Flesh firm, very juicy and delicately flavoured. H 59, W 53.",Eating
Yellow June(syn. White June),Southern US,1865,"Flesh white, tender, juicy, brisk, subacid, good. Stalk long. Tree vigorous, abundant bearer. Use southern US June, Jyly, northern US August.",Eating
Yellow Newtown see Newtown Pippin,,,,
Yellow Transparent see White Transparent,,,,
Yopp(syn. Yopp´s Favorite),US,1857,"Flesh white, tender, juicy, subacid, good. Stalk short. Use November.",Eating
York,US,1865,"Flesh whitish, tender, juicy, subacid, good to very good. Stalk short. Use October - November.",Cooking
York-A-Red,US,1931,Mutation of York Imperial.,"Eating, Cider, Juice"
York Imperial,US,1820,"Flesh yellowish, tender, juicy, subacid, aromatic. Tree healthy, productive. Preserves well, lop-sided shape. Use November - February.","Cider, Cooking, Eating"
Yorking,US,1925,Mutation of York Imperial,"Eating, cider, juice"
Yorkshire Greening,England,1803,"W 92, H 76. Stalk short to medium. Tree very dwarf. Flesh white, firm, dry, acid. Pick early October. Use November - March.",Cooking
Zabergäu Renette,Germany,1875,Large russet apple somewhat like Belle de Boskoop. (128-208 gram). High in sugar 14.8%. Pick early October. Use October - March.,Eating
Zestar,US,1999,"Red and greenish-yellow, round, sweet and tangy, preserves well","Cooking, Eating"
Zimska Kolačara,Serbia,1900,"A greenish yellow apple. W 55-65, H 65-75, We 170-210. Stalk short. Flesh firm, sweet, juicy. Pick late September - early October.","Eating, Cooking, Pie"
Zoar Greening,US,1865,"Flesh white, tender, juicy, subacid, good. Use November - December.",Eating
